id,title,format,affiliation 1,affiliation 2,affiliation 3,affiliation 4,affiliation 5,affiliation 6,affiliation 7,tags,year,ID,Abstract,lower_abstract,affiliation,mode of presentation,affiliation 8,affiliation 9,affiliation 10,tags (primary),tags (secondary),affiliation 11
2013-1,Increasing the Effectiveness of Your Scholarly Communication Program: Strategic Skills for Success,preconference workshop,University of Utah,Tecker International,,,,,,,2013,2013-1,"This workshop is designed for those that are building programs at their institutions who need to strengthen and revitalize their local efforts. An emphasis will be placed on how to think strategically about local programs and how to develop skills to be influential without necessarily having the positional authority. The workshop will encourage participant interaction by incorporating speakers, pre-work, and hands-on activities. ","this workshop is designed for those that are building programs at their institutions who need to strengthen and revitalize their local efforts. an emphasis will be placed on how to think strategically about local programs and how to develop skills to be influential without necessarily having the positional authority. the workshop will encourage participant interaction by incorporating speakers, pre-work, and hands-on activities. ",,,,,,,,
2013-2,"Planning, Assessing, and Communicating Library Impact: Putting the Standards for Libraries in Higher Education into Action",preconference workshop,University of Illinois at Urbana-Champaign,Pierce College,,,,,,,2013,2013-2,"Libraries in higher education are increasingly required to demonstrate their value and document their contributions to overall institutional effectiveness. The Standards for Libraries in Higher Education is a framework for library planning and assessment that can be used for a variety of circumstances including annual planning, program review, and accreditation self-study. Through presentation, discussion, and group activities, learn how to use the Standards to communicate your library’s impact!","libraries in higher education are increasingly required to demonstrate their value and document their contributions to overall institutional effectiveness. the standards for libraries in higher education is a framework for library planning and assessment that can be used for a variety of circumstances including annual planning, program review, and accreditation self-study. through presentation, discussion, and group activities, learn how to use the standards to communicate your library’s impact!",,,,,,,,
2013-3,"Plugged into User Behavior: Low-Budget, High-Impact Usability Testing of Library Subject Guides",preconference workshop,University of Texas Arlington,,,,,,,,2013,2013-3,"How do students really use library subject guides? Librarians can speculate, but if guides are difficult to navigate, users will leave. Attending this workshop will allow you to take the guesswork out of subject-guide design. You will learn how to construct, conduct, and analyze usability tests by practicing these skills during the session. Hands-on activities will also include incorporating models of information-seeking behavior with findings to better meet students’ needs. (Attendees must bring a laptop.)","how do students really use library subject guides? librarians can speculate, but if guides are difficult to navigate, users will leave. attending this workshop will allow you to take the guesswork out of subject-guide design. you will learn how to construct, conduct, and analyze usability tests by practicing these skills during the session. hands-on activities will also include incorporating models of information-seeking behavior with findings to better meet students’ needs. (attendees must bring a laptop.)",,,,,,,,
2013-4,Rediscover the Joy of Working Together!: Positive Approaches for Increasing Collaboration and Effectiveness in Libraries,preconference workshop,Kansas State University,Rockhurst University,University of Kansas,University of Iowa,,,,,2013,2013-4,"Join this collaborative session to enhance your ability to help your library become more healthy organization. Participants will learn to improve teamwork, effectively plan and make decisions, and conduct evidence based assessments. This session highlights current practices in organizational change management, and describes and demonstrates several positive approaches, tools, and techniques that librarians can use to facilitate change. Participants will develop an organizational change management skills toolkit that can immediately be applied at their organization.","join this collaborative session to enhance your ability to help your library become more healthy organization. participants will learn to improve teamwork, effectively plan and make decisions, and conduct evidence based assessments. this session highlights current practices in organizational change management, and describes and demonstrates several positive approaches, tools, and techniques that librarians can use to facilitate change. participants will develop an organizational change management skills toolkit that can immediately be applied at their organization.",,,,,,,,
2013-5,Speculation to Litigation—Copyright and Climate Change in Libraries,preconference workshop,University of Louisville,Columbia University,Brigham Young University,Purdue University,,,,,2013,2013-5,"Changes in digital technologies have produced monumental advancements in libraries. Those changes have generated close scrutiny of copyright in libraries and pitched efforts in the courts to upend many presumably unassailable library roles. The conversation about copyright has evolved from speculation to litigation. This preconference will trace that conversation, analyze copyright and contemporary litigation on broad fronts, and engage participants in resolving the fundamental challenges of our times through imaginative, innovative, and inspired decision making.","changes in digital technologies have produced monumental advancements in libraries. those changes have generated close scrutiny of copyright in libraries and pitched efforts in the courts to upend many presumably unassailable library roles. the conversation about copyright has evolved from speculation to litigation. this preconference will trace that conversation, analyze copyright and contemporary litigation on broad fronts, and engage participants in resolving the fundamental challenges of our times through imaginative, innovative, and inspired decision making.",,,,,,,,
2013-6,Begin at the End: Reverse Engineer your Library Instruction through Analysis of Student Bibliographies and Citations,preconference workshop,Longwood University,Hollins University,Radford University,,,,,,2013,2013-6,"Student papers and bibliographies are the products that truly demonstrate whether students employ information literacy skills. In this workshop, we will examine different strategies for the analysis of student papers to measure information literacy outcomes. Attendees will practice developing assessment criteria and rubrics, rate sample student papers, and analyze results. Discussion will then focus on how to use the findings to change library instruction, and to engage faculty in meaningful conversations about research assignments.","student papers and bibliographies are the products that truly demonstrate whether students employ information literacy skills. in this workshop, we will examine different strategies for the analysis of student papers to measure information literacy outcomes. attendees will practice developing assessment criteria and rubrics, rate sample student papers, and analyze results. discussion will then focus on how to use the findings to change library instruction, and to engage faculty in meaningful conversations about research assignments.",,,,,,,,
2013-7,Data on the Run: Data and Statistical Sources for Reference and Instruction,preconference workshop,University of Southern California,University of North Carolina Greensboro,,,,,,,2013,2013-7,"This session will provide an introduction to the essential numeric sources for supporting research and teaching—from fast fact statistics to raw datasets. Learn how to identify the primary producers of statistics and gain hands-on experience with numeric resources at all levels (i.e., published statistics, interactive databases, and more). Brainstorm ideas for incorporating numeric data into your library instruction sessions. Develop a toolkit for the data reference interview.","this session will provide an introduction to the essential numeric sources for supporting research and teaching—from fast fact statistics to raw datasets. learn how to identify the primary producers of statistics and gain hands-on experience with numeric resources at all levels (i.e., published statistics, interactive databases, and more). brainstorm ideas for incorporating numeric data into your library instruction sessions. develop a toolkit for the data reference interview.",,,,,,,,
2013-8,"Opening Keynote, Geoffrey Canada",keynote ,Harlem Children's Zone,,,,,,,,2013,2013-8,"In his 20-plus years with Harlem Children’s Zone, Geoffrey Canada has become nationally recognized for his pioneering work helping children and families in Harlem and as a passionate advocate for education reform.","in his 20-plus years with harlem children’s zone, geoffrey canada has become nationally recognized for his pioneering work helping children and families in harlem and as a passionate advocate for education reform.",,,,,,,,
2013-9,From Audience to Authorship to Authority: Using Wikipedia to Strengthen Research and Critical Thinking Skills,contributed paper,California Maritime Academy,California State University Channel Islands,,,,,,,2013,2013-9,"Find out how to use Wikipedia as a place for your students to practice research and critical thinking skills as creators of content, editors, and critical evaluators of Wikipedia information. This presentation will discuss how Wikipedia provides students with an “authentic audience” for their work; introduces students to research in a social context; and functions as a lens to critically evaluate notions of authorship and authority.","find out how to use wikipedia as a place for your students to practice research and critical thinking skills as creators of content, editors, and critical evaluators of wikipedia information. this presentation will discuss how wikipedia provides students with an “authentic audience” for their work; introduces students to research in a social context; and functions as a lens to critically evaluate notions of authorship and authority.",,,,,,,,
2013-10,Engagement and Impact of Social Media use by Canadian Libraries: #SMCanLib,contributed paper,University of Toronto Scarborough,,,,,,,,2013,2013-10,The purpose of this paper is to review how Canadian research libraries are using social media accounts. We tracked posts from Canadian Association of Research Libraries (CARL) members that are managing Facebook and Twitter accounts and coded them based their content. These accounts were further analyzed using a range of metrics. These results were used to evaluate the effort versus impact potential of social media accounts for these libraries and specifically our own.,the purpose of this paper is to review how canadian research libraries are using social media accounts. we tracked posts from canadian association of research libraries (carl) members that are managing facebook and twitter accounts and coded them based their content. these accounts were further analyzed using a range of metrics. these results were used to evaluate the effort versus impact potential of social media accounts for these libraries and specifically our own.,,,,,,,,
